122,GOLDBEES,INF204KB17I5,64.38,20
123,CEATLTD,INE482A01020,2913.6,20
124,NSLNISP,INE0NNS01018,44.26,20
125,SGBOCT25V,IN0020170075,7803,10
126,MRF,INE883A01011,124492.35,20
127,SGBJUN28,IN0020200104,8089.99,10
128,SYNGENE,INE398R01022,895.3,20
129,INOXINDIA,INE616N01034,1130.45,20
130,ACC,INE012A01025,2145,20
131,GRINDWELL,INE536A01023,2102,20
132,SHREECEM,INE070A01015,25467.3,20
133,ITIETF,INF109KC16I6,46.77,20
134,PHARMABEES,INF204KC1089,22.62,20
135,CLEAN,INE227W01023,1289.25,20
136,KROSS,INE0O6601022,212.02,20
137,HCLTECH,INE860A01027,1891.7,9
138,JUBLPHARMA,INE700A01033,1111.8,20
139,TIMKEN,INE325A01013,3351.6,20
140,SGBMAR28X,IN0020190552,8002.72,10
141,SGBSEP31II,IN0020230093,8240.82,10
142,IIFL,INE530B01024,413.45,20.91
143,SBFC,INE423Y01016,87.93,20
144,ARE&M,INE885A01032,1241.85,20
145,ADANIENSOL,INE931S01010,625.2,25.14
146,KAYNES,INE918Z01012,5895.85,20
147,STARCEMENT,INE460H01021,177.57,20
148,SGBJUL25,IN0020170034,7948.04,10
149,ANDHRAPAP,INE435A01051,96.92,20
150,TI,INE133E01013,363,20
151,EXIDEIND,INE302A01020,428.35,20
152,ABREL,INE055A01016,2655.6,20
153,THERMAX,INE152A01029,4448.55,20
154,NEXT50IETF,INF109KC1NS5,72.21,6.68
155,GOKEX,INE887G01027,885.1,20
156,GILLETTE,INE322A01010,10443.15,20
157,DHAMPURSUG,INE041A01016,176.59,20
158,MOTILALOFS,INE338I01027,907.5,21.32
159,ZAGGLE,INE07K301024,468.35,100
160,SGBOCT27,IN0020190370,8050,10
161,VEEDOL,INE484C01030,1746.8,20
162,JSWSTEEL,INE019A01038,953.3,10.67
163,TDPOWERSYS,INE419M01027,455.9,20
164,BAJAJHLDNG,INE118A01012,10591.55,20
165,TTML,INE517B01013,69.05,20
166,IDEAFORGE,INE349Y01013,573.55,20
167,M&MFIN,INE774D01024,272.65,20
168,MOM30IETF,INF109KC17C7,34.69,7.36
169,KNRCON,INE634I01029,314.7,20
170,NAVKARCORP,INE278M01019,133.48,24.52
171,HATHWAY,INE982F01036,18.28,20
172,RAIN,INE855B01025,151.23,20
173,DISHTV,INE836F01026,10.48,20.64
174,IRFC,INE053F01010,146.31,20.66
175,WIPRO,INE075A01022,582.45,10.7
176,TATATECH,INE142M01025,943.15,20
177,ATUL,INE100A01010,7472.9,20
178,GMRINFRA,INE776C01039,80.05,20
179,NEWGEN,INE619B01017,1119.8,20.69
180,NIACL,INE470Y01017,180.4,22.12
181,INTERARCH,INE00M901018,1434.95,20
182,DIVISLAB,INE361B01024,6138.45,20
183,ASTERDM,INE914M01019,439.3,20
184,SENCO,INE602W01019,1161.9,20
185,JTLIND,INE391J01032,97.59,21.5
186,SHARDACROP,INE221J01015,795.1,20
187,SGBAPR28I,IN0020200062,8212.61,10
188,ABSLAMC,INE404A01024,857.6,20
189,AARTIDRUGS,INE767A01016,453.1,20
190,BANKBEES,INF204KB15I9,534.97,20
191,SGBAUG29V,IN0020210129,8149.58,10
192,ABDL,INE552Z01027,316.4,20
193,TRENT,INE849A01020,6774.95,14
194,EBBETF0430,INF754K01KO2,1430.16,20
195,MFSL,INE180A01020,1169.8,20
196,GLS,INE03Q201024,1092.65,20
197,BANSALWIRE,INE0B9K01025,418.25,20
198,FINCABLES,INE235A01022,1137.7,20
199,PVRINOX,INE191H01014,1480.7,20
200,TATACHEM,INE092A01019,1081.95,20
201,KAJARIACER,INE217B01036,1227.6,20
202,SILVERBEES,INF204KC1402,86.87,20
203,APLLTD,INE901L01018,1093.2,20
204,CAPLIPOINT,INE475E01026,1976.55,20
205,SGBNV29VII,IN0020210178,8096.66,10
206,POLYCAB,INE455K01017,6766.15,20
207,BSOFT,INE836A01035,569.1,20
208,AJANTPHARM,INE031B01049,2996.7,20
209,PVTBANIETF,INF109KC18U7,25.53,20
210,ACI,INE128X01021,717,20
211,HONAUT,INE671A01010,41413,20
212,SIEMENS,INE003A01024,7348.5,20
213,HAL,INE066F01020,4289.95,20
214,MAZDOCK,INE249Z01012,4175.6,25.29
215,HINDCOPPER,INE531E01026,278.8,20.36
216,TRIDENT,INE064C01022,31.92,20
217,SGBJUN29II,IN0020210061,8072.86,10
218,AUBANK,INE949L01017,596.3,20
219,MOREPENLAB,INE083A01026,74.05,21.46
220,UPL,INE628A01036,568.55,20
221,SGBJUL27,IN0020190081,8125,10
222,MARKSANS,INE750C01026,315.55,20.48
223,SANSTAR,INE08NE01025,112.09,20
224,SAREGAMA,INE979A01025,474.1,20
225,HCC,INE549A01026,37.34,25.32
226,POLICYBZR,INE417T01026,1806.3,20
227,CENTURYPLY,INE348B01021,713.8,20
228,HDFCLIFE,INE795G01014,684.8,9.65
229,BAJAJELEC,INE193E01025,749.5,20
230,ECLERX,INE738I01010,3309.2,20
231,HIKAL,INE475B01022,395.75,20
232,NAUKRI,INE663F01024,8195.3,20
233,APARINDS,INE372A01015,9561.9,20
234,TRITURBINE,INE152M01016,764.15,20.07
235,SOUTHBANK,INE683A01023,22.83,20
236,ALPHA,INF174KA1IA5,52.98,7.71
237,HOMEFIRST,INE481N01025,1143.5,20
238,PNGJL,INE953R01016,647.15,20
239,LTFOODS,INE818H01020,354.65,20
240,PEL,INE140A01024,1107.75,20
241,GMMPFAUDLR,INE541A01023,1201.15,20
242,AEROFLEX,INE024001021,183.75,20
243,SUMICHEM,INE258G01013,556.9,20
244,EMCURE,INE168P01015,1312.05,20
245,APLAPOLLO,INE702C01027,1457.3,20
246,GOODLUCK,INE127I01024,946.5,20
247,KTKBANK,INE614B01018,207.47,20
248,ORIENTCEM,INE876N01018,327.05,20
249,POLYPLEX,INE633B01018,1208.05,20
250,FEDFINA,INE007N01010,94.12,20
251,KOPRAN,INE082A01010,220.2,100
252,BOMDYEING,INE032A01023,209.45,20.72
253,GIPCL,INE162A01010,192.05,20
254,SGBJUL28IV,IN0020200146,8073.85,10
255,TRIVENI,INE256C01024,382.6,20
256,PSPPROJECT,INE488V01015,625.45,20
257,SGBOCT25,IN0020170059,7815.01,10
258,MASTEK,INE759A01021,3254.25,20
259,CARTRADE,INE290S01011,1292.8,20
260,LODHA,INE670K01029,1227.25,20
261,RADICO,INE944F01028,2341.7,20
262,PERSISTENT,INE262H01021,5917.7,20
263,RTNINDIA,INE834M01019,62.41,21.49
264,GALAXYSURF,INE600K01018,2871.6,20
265,SGBD29VIII,IN0020210228,8107.04,10
266,GODIGIT,INE03JT01014,351.55,20
267,SMALLCAP,INF769K01LC3,49.37,6.52
268,HBLPOWER,INE292B01021,562,21.07
269,NATCOPHARM,INE987B01026,1364.95,20
270,BANDHANBNK,INE545U01014,171.14,20
271,SGBAUG28V,IN0020200161,8126.21,10
272,MGL,INE002S01010,1187.5,20
273,MAHABANK,INE457A01014,54.28,20
274,GODREJIND,INE233A01035,1055.3,20
275,SHRIRAMFIN,INE721A01013,2947.8,13.84
276,FEDERALBNK,INE171A01029,212.88,20
277,LLOYDSENGG,INE093R01011,68,23.96
278,BFUTILITIE,INE243D01012,955.85,100
279,SGBMAY25,IN0020170018,7975,10
280,BHARTIHEXA,INE343G01021,1322.55,20
281,HDFCSILVER,INF179KC1DI2,87.17,20
282,ALKYLAMINE,INE150B01039,1934.2,20
283,PETRONET,INE347G01014,333.85,20
284,ESCORTS,INE042A01014,3615.5,20
285,FCL,INE045J01026,338.05,20
286,BORORENEW,INE666D01022,444.85,20
287,SETFNIF50,INF200KA1FS1,256.28,6
288,SGBN28VIII,IN0020200286,8061.1,10
289,GREENPANEL,INE08ZM01014,334.4,20
290,LIQUIDBETF,INF0QA701854,1002.07,5
291,NOCIL,INE163A01018,263.15,20
292,CGPOWER,INE067A01029,736.7,20
293,ACLGATI,INE152B01027,93.49,20
294,PRAKASH,INE603A01013,166.43,21.02
295,CHOLAFIN,INE121A01024,1239.9,20
296,SHARDAMOTR,INE597I01028,1947.15,20
297,SEQUENT,INE807F01027,202.5,100
298,M&M,INE101A01026,3045.6,12.12
299,UNOMINDA,INE405E01023,1077.35,20
300,JWL,INE209L01016,457.05,23.05
301,AWL,INE699H01024,297.4,20
302,MMTC,INE123F01029,76.42,23.72
303,ELGIEQUIP,INE285A01027,640.75,20
304,MID150BEES,INF204KB1V68,213.29,6.21
305,PGHH,INE179A01014,15909.9,20
306,SANSERA,INE953O01021,1595,20
307,TVSMOTOR,INE494B01023,2458.35,20
308,PNCINFRA,INE195J01029,285.85,20
309,SDBL,INE480C01038,100.97,20
310,GAEL,INE036B01030,121.43,20
311,SRF,INE647A01010,2223.55,20
312,CHALET,INE427F01016,897.6,20
